5
year,total,white,black,hispanic,asian,other
1970,203211926,177748975,22580289,0,1538721,1343941
1980,226545805,180256366,26495025,14608673,3500439,6758319
1990,248709873,188128296,29986060,22354059,7273662,11764081
2000,281421906,194552774,35305818,33947837,10123169,7492308
2010,308745538,196817552,37685848,50477594,14465124,9299420
